App Name,Domain,Count
CARFAX,gstatic.com,2
CARFAX,ispot.tv,3
Knowunity,apple.com,39
Knowunity,adjust.com,5
Knowunity,google.com,3
Knowunity,googleusercontent.com,1
Knowunity,youtube.com,1
Photomath,apple.com,15
Photomath,split.io,5
Photomath,facebook.com,7
Photomath,branch.io,2
Photomath,mparticle.com,5
Photomath,kochava.com,2
Photomath,braze.com,1
WeaponCraftRun,facebook.com,12
WeaponCraftRun,apple.com,22
WeaponCraftRun,unity3d.com,16
WeaponCraftRun,adjust.com,6
WeaponCraftRun,dynatrace.com,1
WeaponCraftRun,doubleclick.net,203
WeaponCraftRun,inmobi.com,1
WeaponCraftRun,ssacdn.com,2
WeaponCraftRun,adsmoloco.com,1
WeaponCraftRun,mzstatic.com,6
FanDuel,segment.com,2
FanDuel,braze.com,11
FanDuel,apptentive.com,11
FanDuel,googletagmanager.com,4
FanDuel,apple.com,2
FanDuel,appsflyer.com,6
FanDuel,amplitude.com,35
FanDuel,sentry.io,2
FanDuel,perimeterx.net,7
FanDuel,quantummetric.com,10
FanDuel,google-analytics.com,5
FanDuel,siftscience.com,3
FanDuel,datadoghq.com,5
FanDuel,fontawesome.com,4
FanDuel,ads-twitter.com,3
FanDuel,px-cloud.net,7
FanDuel,twitter.com,3
FanDuel,t.co,3
FanDuel,geistm.com,3
FanDuel,segment.io,4
FanDuel,windows.net,3
FanDuel,datadoghq-browser-agent.com,1
FanDuel,appboycdn.com,1
WeatherLive,facebook.com,7
WeatherLive,amplitude.com,5
WeatherLive,apple.com,27
WeatherLive,onetrust.io,1
WeatherLive,adjust.com,21
WeatherLive,braze.com,3
WeatherLive,amazon-adsystem.com,6
WeatherLive,doubleclick.net,42
WeatherLive,ssacdn.com,2
WeatherLive,googlesyndication.com,11
WeatherLive,appsflyer.com,2
WeatherLive,googleadservices.com,6
WeatherLive,smaato.net,1
WeatherLive,bytegoofy.com,1
WeatherLive,inmobi.com,1
TheWeatherChannel,w-x.co,114
TheWeatherChannel,apple.com,12
TheWeatherChannel,mapbox.com,27
TheWeatherChannel,weather.com,141
TheWeatherChannel,braze.com,9
TheWeatherChannel,appsflyer.com,14
TheWeatherChannel,braze-images.com,1
